      Time       Date     Sample #  Type  Sub Chan  Num	Aux
[01:05:30.004 20/07/89]        1     "    0    0    0	W
[01:06:00.000 20/07/89]     7500     "    0    0    0	W
[01:06:30.000 20/07/89]    15000     "    0    0    0	W
[01:07:00.000 20/07/89]    22500     "    0    0    0	W
[01:07:30.000 20/07/89]    30000     "    0    0    0	W
[01:08:00.000 20/07/89]    37500     "    0    0    0	W
[01:08:30.000 20/07/89]    45000     "    0    0    0	W
[01:09:00.000 20/07/89]    52500     "    0    0    0	W
[01:09:30.000 20/07/89]    60000     "    0    0    0	W
[01:10:00.000 20/07/89]    67500     "    0    0    0	W
[01:10:30.000 20/07/89]    75000     "    0    0    0	W
[01:11:00.000 20/07/89]    82500     "    0    0    0	W
[01:11:30.000 20/07/89]    90000     "    0    0    0	W
[01:12:00.000 20/07/89]    97500     "    0    0    0	W
[01:12:30.000 20/07/89]   105000     "    0    0    0	W
[01:13:00.000 20/07/89]   112500     "    0    0    0	W
[01:13:30.000 20/07/89]   120000     "    0    0    0	W
[01:14:00.000 20/07/89]   127500     "    0    0    0	W
[01:14:30.000 20/07/89]   135000     "    0    0    0	W
[01:15:00.000 20/07/89]   142500     "    0    0    0	W
[01:15:30.000 20/07/89]   150000     "    0    0    0	W
[01:16:00.000 20/07/89]   157500     "    0    0    0	W
[01:16:30.000 20/07/89]   165000     "    0    0    0	W
[01:17:00.000 20/07/89]   172500     "    0    0    0	W
[01:17:30.000 20/07/89]   180000     "    0    0    0	W
[01:18:00.000 20/07/89]   187500     "    0    0    0	W
[01:18:30.000 20/07/89]   195000     "    0    0    0	W
[01:19:00.000 20/07/89]   202500     "    0    0    0	W
[01:19:30.000 20/07/89]   210000     "    0    0    0	W
[01:20:00.000 20/07/89]   217500     "    0    0    0	W
[01:20:30.000 20/07/89]   225000     "    0    0    0	W
[01:21:00.000 20/07/89]   232500     "    0    0    0	W
[01:21:30.000 20/07/89]   240000     "    0    0    0	W
[01:22:00.000 20/07/89]   247500     "    0    0    0	W
[01:22:30.000 20/07/89]   255000     "    0    0    0	W
[01:23:00.000 20/07/89]   262500     "    0    0    0	W
[01:23:30.000 20/07/89]   270000     "    0    0    0	W
[01:24:00.000 20/07/89]   277500     "    0    0    0	W
[01:24:30.000 20/07/89]   285000     "    0    0    0	W
[01:25:00.000 20/07/89]   292500     "    0    0    0	W
[01:25:30.000 20/07/89]   300000     "    0    0    0	W
[01:26:00.000 20/07/89]   307500     "    0    0    0	W
[01:26:30.000 20/07/89]   315000     "    0    0    0	W
[01:27:00.000 20/07/89]   322500     "    0    0    0	W
[01:27:30.000 20/07/89]   330000     "    0    0    0	W
[01:28:00.000 20/07/89]   337500     "    0    0    0	W
[01:28:30.000 20/07/89]   345000     "    0    0    0	W
[01:29:00.000 20/07/89]   352500     "    0    0    0	W
[01:29:30.000 20/07/89]   360000     "    0    0    0	W
[01:30:00.000 20/07/89]   367500     "    0    0    0	W
[01:30:30.000 20/07/89]   375000     "    0    0    0	W
[01:31:00.000 20/07/89]   382500     "    0    0    0	W
[01:31:30.000 20/07/89]   390000     "    0    0    0	W
[01:32:00.000 20/07/89]   397500     "    0    0    0	W
[01:32:30.000 20/07/89]   405000     "    0    0    0	W
[01:33:00.000 20/07/89]   412500     "    0    0    0	W
[01:33:30.000 20/07/89]   420000     "    0    0    0	W
[01:34:00.000 20/07/89]   427500     "    0    0    0	W
[01:34:30.000 20/07/89]   435000     "    0    0    0	W
[01:35:00.000 20/07/89]   442500     "    0    0    0	W
[01:35:30.000 20/07/89]   450000     "    0    0    0	W
[01:36:00.000 20/07/89]   457500     "    0    0    0	W
[01:36:30.000 20/07/89]   465000     "    0    0    0	W
[01:37:00.000 20/07/89]   472500     "    0    0    0	W
