'Time and date','ECG','BP','EEG (C4-A1)','Resp (sum)'
'hh:mm:ss.mmm dd/mm/yyyy','mV','mmHg','mV','l'
'[02:14:00.000 20/01/1989]',0.220,80.372,0.008,-0.396
'[02:14:00.004 20/01/1989]',0.235,83.093,0.009,-0.393
'[02:14:00.008 20/01/1989]',0.225,85.814,0.009,-0.400
'[02:14:00.012 20/01/1989]',0.240,88.326,0.010,-0.413
'[02:14:00.016 20/01/1989]',0.230,90.837,0.009,-0.403
'[02:14:00.020 20/01/1989]',0.230,92.930,0.012,-0.428
'[02:14:00.024 20/01/1989]',0.240,95.233,0.012,-0.425
'[02:14:00.028 20/01/1989]',0.220,96.698,0.011,-0.429
'[02:14:00.032 20/01/1989]',0.215,98.581,0.012,-0.432
'[02:14:00.036 20/01/1989]',0.225,100.256,0.012,-0.422
'[02:14:00.040 20/01/1989]',0.210,101.930,0.011,-0.430
'[02:14:00.044 20/01/1989]',0.210,102.977,0.009,-0.410
'[02:14:00.048 20/01/1989]',0.195,104.233,0.010,-0.414
'[02:14:00.052 20/01/1989]',0.180,105.279,0.011,-0.417
'[02:14:00.056 20/01/1989]',0.165,105.698,0.007,-0.401
'[02:14:00.060 20/01/1989]',0.160,106.326,0.003,-0.409
'[02:14:00.064 20/01/1989]',0.135,105.488,0.005,-0.429
'[02:14:00.068 20/01/1989]',0.125,106.116,0.003,-0.428
'[02:14:00.072 20/01/1989]',0.100,105.698,0.001,-0.429
'[02:14:00.076 20/01/1989]',0.075,104.860,-0.000,-0.439
'[02:14:00.080 20/01/1989]',0.070,103.814,-0.001,-0.449
'[02:14:00.084 20/01/1989]',0.060,102.977,-0.005,-0.429
'[02:14:00.088 20/01/1989]',0.040,101.512,-0.004,-0.432
'[02:14:00.092 20/01/1989]',0.030,100.674,-0.004,-0.425
'[02:14:00.096 20/01/1989]',0.020,99.000,-0.005,-0.425
'[02:14:00.100 20/01/1989]',-0.000,97.535,-0.009,-0.407
'[02:14:00.104 20/01/1989]',-0.000,96.488,-0.010,-0.414
'[02:14:00.108 20/01/1989]',-0.000,94.395,-0.007,-0.412
'[02:14:00.112 20/01/1989]',0.005,93.558,-0.008,-0.422
'[02:14:00.116 20/01/1989]',-0.000,91.884,-0.009,-0.416
'[02:14:00.120 20/01/1989]',-0.000,90.628,-0.008,-0.436
'[02:14:00.124 20/01/1989]',-0.000,89.791,-0.007,-0.435
'[02:14:00.128 20/01/1989]',-0.000,88.116,-0.007,-0.446
'[02:14:00.132 20/01/1989]',-0.010,86.860,-0.005,-0.442
'[02:14:00.136 20/01/1989]',-0.000,85.605,-0.004,-0.442
'[02:14:00.140 20/01/1989]',-0.000,84.767,-0.004,-0.436
'[02:14:00.144 20/01/1989]',-0.000,83.512,-0.004,-0.435
'[02:14:00.148 20/01/1989]',-0.000,82.046,-0.001,-0.422
'[02:14:00.152 20/01/1989]',-0.000,81.000,0.002,-0.420
'[02:14:00.156 20/01/1989]',0.005,80.581,0.001,-0.412
'[02:14:00.160 20/01/1989]',0.010,79.326,-0.002,-0.416
'[02:14:00.164 20/01/1989]',0.015,78.070,-0.003,-0.420
'[02:14:00.168 20/01/1989]',0.015,77.442,-0.003,-0.433
'[02:14:00.172 20/01/1989]',0.015,77.023,-0.004,-0.441
'[02:14:00.176 20/01/1989]',0.010,76.395,-0.004,-0.451
'[02:14:00.180 20/01/1989]',0.015,75.558,-0.004,-0.458
'[02:14:00.184 20/01/1989]',0.010,75.139,-0.008,-0.435
'[02:14:00.188 20/01/1989]',0.030,74.721,-0.007,-0.435
'[02:14:00.192 20/01/1989]',0.020,73.674,-0.007,-0.425
'[02:14:00.196 20/01/1989]',0.020,73.046,-0.007,-0.417
'[02:14:00.200 20/01/1989]',0.035,72.837,-0.011,-0.407
'[02:14:00.204 20/01/1989]',0.040,72.000,-0.012,-0.420
'[02:14:00.208 20/01/1989]',0.035,71.581,-0.013,-0.412
'[02:14:00.212 20/01/1989]',0.040,70.953,-0.013,-0.429
'[02:14:00.216 20/01/1989]',0.030,69.698,-0.014,-0.425
'[02:14:00.220 20/01/1989]',0.040,69.070,-0.014,-0.442
'[02:14:00.224 20/01/1989]',0.025,68.860,-0.012,-0.445
'[02:14:00.228 20/01/1989]',0.035,68.233,-0.010,-0.446
'[02:14:00.232 20/01/1989]',0.040,67.395,-0.009,-0.435
'[02:14:00.236 20/01/1989]',0.040,66.977,-0.005,-0.435
'[02:14:00.240 20/01/1989]',0.040,66.558,-0.001,-0.426
'[02:14:00.244 20/01/1989]',0.035,65.721,0.000,-0.425
'[02:14:00.248 20/01/1989]',0.040,64.674,0.007,-0.414
'[02:14:00.252 20/01/1989]',0.040,64.465,0.013,-0.420
