'Time and date','ECG','BP','EEG (O2-A1)','Resp (nasal)'
'hh:mm:ss.mmm dd/mm/yyyy','mV','mmHg','mV','l'
'[03:59:30.000 01/02/1989]',0.218,133.976,-0.014,-0.565
'[03:59:30.004 01/02/1989]',0.218,136.347,-0.013,-0.565
'[03:59:30.008 01/02/1989]',0.212,137.730,-0.015,-0.532
'[03:59:30.012 01/02/1989]',0.214,139.311,-0.014,-0.581
'[03:59:30.016 01/02/1989]',0.212,140.497,-0.015,-0.524
'[03:59:30.020 01/02/1989]',0.200,140.892,-0.014,-0.508
'[03:59:30.024 01/02/1989]',0.192,142.275,-0.013,-0.540
'[03:59:30.028 01/02/1989]',0.180,142.868,-0.011,-0.565
'[03:59:30.032 01/02/1989]',0.156,142.868,-0.008,-0.540
'[03:59:30.036 01/02/1989]',0.144,141.880,-0.008,-0.581
'[03:59:30.040 01/02/1989]',0.126,142.275,-0.008,-0.548
'[03:59:30.044 01/02/1989]',0.114,141.683,-0.009,-0.613
'[03:59:30.048 01/02/1989]',0.096,140.892,-0.007,-0.605
'[03:59:30.052 01/02/1989]',0.078,139.904,-0.005,-0.605
'[03:59:30.056 01/02/1989]',0.060,139.311,-0.005,-0.605
'[03:59:30.060 01/02/1989]',0.058,137.928,-0.003,-0.605
'[03:59:30.064 01/02/1989]',0.040,137.533,-0.003,-0.548
'[03:59:30.068 01/02/1989]',0.026,136.347,-0.001,-0.565
'[03:59:30.072 01/02/1989]',0.022,134.569,-0.000,-0.565
'[03:59:30.076 01/02/1989]',0.018,134.174,0.002,-0.565
'[03:59:30.080 01/02/1989]',0.008,133.186,0.000,-0.581
'[03:59:30.084 01/02/1989]',0.006,132.198,0.001,-0.589
'[03:59:30.088 01/02/1989]',-0.000,131.407,0.003,-0.589
'[03:59:30.092 01/02/1989]',-0.000,130.024,0.003,-0.605
'[03:59:30.096 01/02/1989]',0.006,129.826,0.002,-0.613
'[03:59:30.100 01/02/1989]',0.008,129.233,0.002,-0.613
'[03:59:30.104 01/02/1989]',0.002,128.245,0.001,-0.613
'[03:59:30.108 01/02/1989]',0.008,127.455,0.003,-0.589
'[03:59:30.112 01/02/1989]',-0.000,126.862,0.003,-0.589
'[03:59:30.116 01/02/1989]',0.010,126.862,0.003,-0.581
'[03:59:30.120 01/02/1989]',0.010,126.269,0.000,-0.581
'[03:59:30.124 01/02/1989]',0.022,125.677,0.001,-0.565
'[03:59:30.128 01/02/1989]',0.018,125.874,0.000,-0.581
'[03:59:30.132 01/02/1989]',0.012,125.874,0.001,-0.581
'[03:59:30.136 01/02/1989]',0.018,125.084,-0.000,-0.613
'[03:59:30.140 01/02/1989]',0.024,124.689,-0.001,-0.597
'[03:59:30.144 01/02/1989]',0.024,124.689,-0.005,-0.605
'[03:59:30.148 01/02/1989]',0.028,124.491,-0.004,-0.581
'[03:59:30.152 01/02/1989]',0.034,123.898,-0.005,-0.613
'[03:59:30.156 01/02/1989]',0.032,123.701,-0.005,-0.589
'[03:59:30.160 01/02/1989]',0.032,123.503,-0.006,-0.581
'[03:59:30.164 01/02/1989]',0.034,123.108,-0.007,-0.565
'[03:59:30.168 01/02/1989]',0.032,122.910,-0.004,-0.581
'[03:59:30.172 01/02/1989]',0.034,122.317,-0.004,-0.581
'[03:59:30.176 01/02/1989]',0.034,121.922,-0.002,-0.597
'[03:59:30.180 01/02/1989]',0.040,120.934,-0.002,-0.565
'[03:59:30.184 01/02/1989]',0.040,120.341,-0.000,-0.581
'[03:59:30.188 01/02/1989]',0.040,119.353,0.000,-0.613
'[03:59:30.192 01/02/1989]',0.042,118.365,0.003,-0.629
'[03:59:30.196 01/02/1989]',0.040,117.772,0.003,-0.613
'[03:59:30.200 01/02/1989]',0.040,116.389,0.004,-0.597
'[03:59:30.204 01/02/1989]',0.044,114.808,0.004,-0.637
'[03:59:30.208 01/02/1989]',0.042,114.215,0.004,-0.613
'[03:59:30.212 01/02/1989]',0.032,113.030,0.005,-0.581
'[03:59:30.216 01/02/1989]',0.038,111.844,0.005,-0.621
'[03:59:30.220 01/02/1989]',0.038,111.054,0.004,-0.645
'[03:59:30.224 01/02/1989]',0.040,109.275,0.003,-0.605
'[03:59:30.228 01/02/1989]',0.040,109.275,0.003,-0.621
'[03:59:30.232 01/02/1989]',0.044,108.287,0.003,-0.637
'[03:59:30.236 01/02/1989]',0.042,106.904,0.005,-0.653
'[03:59:30.240 01/02/1989]',0.048,106.114,0.003,-0.653
'[03:59:30.244 01/02/1989]',0.040,105.916,0.003,-0.685
'[03:59:30.248 01/02/1989]',0.044,105.521,0.003,-0.613
'[03:59:30.252 01/02/1989]',0.042,105.126,0.003,-0.653
'[03:59:30.256 01/02/1989]',0.040,104.928,0.003,-0.645
'[03:59:30.260 01/02/1989]',0.052,104.928,0.001,-0.637
'[03:59:30.264 01/02/1989]',0.054,104.335,-0.000,-0.669
'[03:59:30.268 01/02/1989]',0.050,104.730,0.000,-0.621
'[03:59:30.272 01/02/1989]',0.064,104.928,-0.000,-0.653
'[03:59:30.276 01/02/1989]',0.082,104.928,-0.000,-0.629
'[03:59:30.280 01/02/1989]',0.096,105.323,0.001,-0.637
'[03:59:30.284 01/02/1989]',0.112,105.521,0.000,-0.685
'[03:59:30.288 01/02/1989]',0.112,106.114,0.002,-0.685
'[03:59:30.292 01/02/1989]',0.126,105.916,0.002,-0.677
'[03:59:30.296 01/02/1989]',0.140,106.707,0.003,-0.702
'[03:59:30.300 01/02/1989]',0.152,106.904,0.003,-0.677
'[03:59:30.304 01/02/1989]',0.172,107.299,0.003,-0.653
'[03:59:30.308 01/02/1989]',0.168,107.299,0.005,-0.645
'[03:59:30.312 01/02/1989]',0.160,107.695,0.007,-0.653
'[03:59:30.316 01/02/1989]',0.160,107.695,0.005,-0.677
'[03:59:30.320 01/02/1989]',0.176,107.497,0.004,-0.645
'[03:59:30.324 01/02/1989]',0.178,107.497,0.006,-0.613
'[03:59:30.328 01/02/1989]',0.178,108.287,0.006,-0.669
'[03:59:30.332 01/02/1989]',0.160,107.299,0.009,-0.694
'[03:59:30.336 01/02/1989]',0.146,108.287,0.009,-0.710
'[03:59:30.340 01/02/1989]',0.124,107.892,0.012,-0.685
'[03:59:30.344 01/02/1989]',0.102,107.695,0.011,-0.702
'[03:59:30.348 01/02/1989]',0.072,107.695,0.012,-0.685
'[03:59:30.352 01/02/1989]',0.046,107.497,0.013,-0.677
'[03:59:30.356 01/02/1989]',0.032,107.299,0.013,-0.669
'[03:59:30.360 01/02/1989]',0.014,106.509,0.012,-0.661
'[03:59:30.364 01/02/1989]',0.010,106.114,0.012,-0.621
'[03:59:30.368 01/02/1989]',0.002,106.114,0.013,-0.629
'[03:59:30.372 01/02/1989]',-0.000,105.521,0.013,-0.637
'[03:59:30.376 01/02/1989]',-0.006,105.718,0.012,-0.661
'[03:59:30.380 01/02/1989]',0.006,105.126,0.011,-0.661
'[03:59:30.384 01/02/1989]',-0.000,104.533,0.011,-0.718
'[03:59:30.388 01/02/1989]',0.002,103.940,0.010,-0.694
'[03:59:30.392 01/02/1989]',-0.000,103.742,0.010,-0.694
'[03:59:30.396 01/02/1989]',0.008,103.545,0.007,-0.685
'[03:59:30.400 01/02/1989]',0.012,102.952,0.007,-0.669
'[03:59:30.404 01/02/1989]',0.012,102.952,0.006,-0.677
'[03:59:30.408 01/02/1989]',0.014,102.162,0.006,-0.653
'[03:59:30.412 01/02/1989]',0.004,101.964,0.005,-0.661
'[03:59:30.416 01/02/1989]',0.010,101.569,0.005,-0.653
'[03:59:30.420 01/02/1989]',0.008,101.371,0.006,-0.645
'[03:59:30.424 01/02/1989]',0.012,101.174,0.006,-0.637
'[03:59:30.428 01/02/1989]',0.010,100.581,0.005,-0.645
'[03:59:30.432 01/02/1989]',0.010,100.581,0.005,-0.653
'[03:59:30.436 01/02/1989]',0.028,99.790,0.005,-0.677
'[03:59:30.440 01/02/1989]',0.036,99.395,0.005,-0.637
'[03:59:30.444 01/02/1989]',0.032,99.000,0.005,-0.685
'[03:59:30.448 01/02/1989]',0.018,99.000,0.005,-0.661
'[03:59:30.452 01/02/1989]',0.008,97.814,0.005,-0.645
'[03:59:30.456 01/02/1989]',0.060,98.210,0.002,-0.653
'[03:59:30.460 01/02/1989]',0.168,96.826,-0.000,-0.645
'[03:59:30.464 01/02/1989]',0.448,97.419,-0.005,-0.677
'[03:59:30.468 01/02/1989]',0.654,96.431,-0.008,-0.589
'[03:59:30.472 01/02/1989]',0.856,96.431,-0.007,-0.645
'[03:59:30.476 01/02/1989]',0.662,96.036,-0.004,-0.613
'[03:59:30.480 01/02/1989]',0.480,95.838,0.002,-0.669
'[03:59:30.484 01/02/1989]',0.144,95.443,0.009,-0.637
'[03:59:30.488 01/02/1989]',-0.162,95.245,0.012,-0.637
'[03:59:30.492 01/02/1989]',-0.148,95.245,0.013,-0.645
'[03:59:30.496 01/02/1989]',-0.176,94.455,0.012,-0.645
'[03:59:30.500 01/02/1989]',-0.092,94.257,0.010,-0.645
'[03:59:30.504 01/02/1989]',-0.008,94.257,0.008,-0.637
'[03:59:30.508 01/02/1989]',0.040,93.665,0.007,-0.645
