'Time and date','ECG','BP','EEG (C3-O1)','Resp (nasal)'
'hh:mm:ss.mmm dd/mm/yyyy','mV','mmHg','mV','l'
'[23:12:00.000 09/02/1989]',0.028,98.689,-0.006,0.323
'[23:12:00.004 09/02/1989]',0.026,98.689,-0.007,0.333
'[23:12:00.008 09/02/1989]',-0.006,98.230,-0.007,0.328
'[23:12:00.012 09/02/1989]',0.006,98.230,-0.009,0.323
'[23:12:00.016 09/02/1989]',-0.008,98.230,-0.010,0.325
'[23:12:00.020 09/02/1989]',-0.054,98.230,-0.011,0.323
'[23:12:00.024 09/02/1989]',-0.086,98.000,-0.012,0.323
'[23:12:00.028 09/02/1989]',-0.080,98.689,-0.016,0.314
'[23:12:00.032 09/02/1989]',-0.016,98.230,-0.016,0.318
'[23:12:00.036 09/02/1989]',0.264,98.230,-0.017,0.321
'[23:12:00.040 09/02/1989]',0.656,98.459,-0.019,0.318
'[23:12:00.044 09/02/1989]',1.072,97.771,-0.016,0.321
'[23:12:00.048 09/02/1989]',1.388,98.230,-0.013,0.318
'[23:12:00.052 09/02/1989]',1.488,97.771,-0.012,0.323
'[23:12:00.056 09/02/1989]',1.154,97.541,-0.006,0.318
'[23:12:00.060 09/02/1989]',0.720,97.312,-0.005,0.321
'[23:12:00.064 09/02/1989]',0.320,97.312,-0.003,0.318
'[23:12:00.068 09/02/1989]',-0.134,97.312,-0.004,0.318
'[23:12:00.072 09/02/1989]',-0.396,96.394,-0.003,0.318
'[23:12:00.076 09/02/1989]',-0.580,96.394,-0.005,0.323
'[23:12:00.080 09/02/1989]',-0.710,96.394,-0.007,0.311
'[23:12:00.084 09/02/1989]',-0.746,95.475,-0.010,0.321
'[23:12:00.088 09/02/1989]',-0.692,96.164,-0.011,0.314
'[23:12:00.092 09/02/1989]',-0.590,95.475,-0.013,0.314
'[23:12:00.096 09/02/1989]',-0.466,96.164,-0.016,0.311
'[23:12:00.100 09/02/1989]',-0.342,95.475,-0.015,0.311
'[23:12:00.104 09/02/1989]',-0.184,95.016,-0.018,0.311
'[23:12:00.108 09/02/1989]',-0.064,94.557,-0.016,0.306
'[23:12:00.112 09/02/1989]',-0.024,94.787,-0.017,0.311
'[23:12:00.116 09/02/1989]',-0.018,94.557,-0.014,0.311
'[23:12:00.120 09/02/1989]',-0.020,94.557,-0.012,0.318
'[23:12:00.124 09/02/1989]',-0.018,93.180,-0.008,0.321
'[23:12:00.128 09/02/1989]',-0.006,92.721,-0.007,0.304
'[23:12:00.132 09/02/1989]',-0.000,93.410,-0.004,0.304
'[23:12:00.136 09/02/1989]',0.004,93.639,-0.005,0.306
'[23:12:00.140 09/02/1989]',-0.006,92.721,-0.003,0.306
'[23:12:00.144 09/02/1989]',0.004,93.639,-0.003,0.299
'[23:12:00.148 09/02/1989]',0.020,92.951,-0.000,0.299
'[23:12:00.152 09/02/1989]',0.022,92.262,-0.002,0.304
'[23:12:00.156 09/02/1989]',0.048,92.721,-0.003,0.302
'[23:12:00.160 09/02/1989]',0.044,92.262,-0.004,0.299
'[23:12:00.164 09/02/1989]',0.048,92.033,-0.004,0.295
'[23:12:00.168 09/02/1989]',0.036,91.803,-0.003,0.295
'[23:12:00.172 09/02/1989]',0.032,92.262,-0.004,0.292
'[23:12:00.176 09/02/1989]',0.032,91.803,-0.003,0.285
'[23:12:00.180 09/02/1989]',0.038,91.803,-0.004,0.287
'[23:12:00.184 09/02/1989]',0.038,90.885,-0.003,0.297
'[23:12:00.188 09/02/1989]',0.046,90.885,-0.000,0.295
'[23:12:00.192 09/02/1989]',0.054,90.885,0.002,0.297
'[23:12:00.196 09/02/1989]',0.046,90.656,0.002,0.299
'[23:12:00.200 09/02/1989]',0.048,90.656,0.006,0.295
