'Time and date','ECG','BP','EEG (C4-A1)','Resp (sum)'
'hh:mm:ss.mmm dd/mm/yyyy','mV','mmHg','mV','l'
'[23:07:00.000 19/01/1989]',0.085,47.930,-0.039,-0.261
'[23:07:00.004 19/01/1989]',0.080,47.721,-0.039,-0.267
'[23:07:00.008 19/01/1989]',0.125,47.930,-0.039,-0.261
'[23:07:00.012 19/01/1989]',0.170,47.721,-0.039,-0.271
'[23:07:00.016 19/01/1989]',0.230,47.302,-0.035,-0.265
'[23:07:00.020 19/01/1989]',0.340,46.884,-0.025,-0.272
'[23:07:00.024 19/01/1989]',0.485,46.884,-0.016,-0.280
'[23:07:00.028 19/01/1989]',0.700,46.674,-0.007,-0.297
'[23:07:00.032 19/01/1989]',0.855,46.256,-0.002,-0.297
'[23:07:00.036 19/01/1989]',0.920,46.256,-0.002,-0.307
'[23:07:00.040 19/01/1989]',0.705,46.046,-0.007,-0.307
'[23:07:00.044 19/01/1989]',0.400,45.419,-0.019,-0.316
'[23:07:00.048 19/01/1989]',0.030,45.628,-0.029,-0.312
'[23:07:00.052 19/01/1989]',-0.245,45.209,-0.032,-0.319
'[23:07:00.056 19/01/1989]',-0.360,45.419,-0.033,-0.309
'[23:07:00.060 19/01/1989]',-0.355,45.000,-0.027,-0.297
'[23:07:00.064 19/01/1989]',-0.240,45.209,-0.019,-0.307
'[23:07:00.068 19/01/1989]',-0.125,44.581,-0.018,-0.312
'[23:07:00.072 19/01/1989]',-0.065,44.581,-0.018,-0.310
'[23:07:00.076 19/01/1989]',-0.030,44.581,-0.013,-0.317
'[23:07:00.080 19/01/1989]',0.015,44.581,-0.011,-0.330
'[23:07:00.084 19/01/1989]',0.055,44.581,-0.012,-0.343
'[23:07:00.088 19/01/1989]',0.080,44.791,-0.014,-0.348
'[23:07:00.092 19/01/1989]',0.085,43.953,-0.017,-0.352
'[23:07:00.096 19/01/1989]',0.075,44.163,-0.024,-0.354
'[23:07:00.100 19/01/1989]',0.070,43.953,-0.028,-0.343
'[23:07:00.104 19/01/1989]',0.080,43.744,-0.031,-0.343
'[23:07:00.108 19/01/1989]',0.080,43.535,-0.037,-0.328
'[23:07:00.112 19/01/1989]',0.090,43.744,-0.044,-0.336
'[23:07:00.116 19/01/1989]',0.095,43.326,-0.047,-0.330
'[23:07:00.120 19/01/1989]',0.095,43.744,-0.047,-0.342
'[23:07:00.124 19/01/1989]',0.090,43.326,-0.049,-0.342
'[23:07:00.128 19/01/1989]',0.095,42.907,-0.048,-0.354
'[23:07:00.132 19/01/1989]',0.095,42.698,-0.048,-0.359
'[23:07:00.136 19/01/1989]',0.110,42.907,-0.044,-0.380
'[23:07:00.140 19/01/1989]',0.100,42.488,-0.043,-0.378
'[23:07:00.144 19/01/1989]',0.100,42.907,-0.040,-0.378
'[23:07:00.148 19/01/1989]',0.115,42.279,-0.037,-0.359
'[23:07:00.152 19/01/1989]',0.115,42.698,-0.032,-0.365
'[23:07:00.156 19/01/1989]',0.100,42.279,-0.029,-0.365
'[23:07:00.160 19/01/1989]',0.115,42.488,-0.023,-0.367
'[23:07:00.164 19/01/1989]',0.110,42.279,-0.017,-0.365
'[23:07:00.168 19/01/1989]',0.120,42.698,-0.015,-0.374
'[23:07:00.172 19/01/1989]',0.115,42.279,-0.013,-0.371
'[23:07:00.176 19/01/1989]',0.110,42.279,-0.007,-0.380
'[23:07:00.180 19/01/1989]',0.125,42.070,-0.001,-0.400
'[23:07:00.184 19/01/1989]',0.125,42.279,0.000,-0.399
'[23:07:00.188 19/01/1989]',0.140,41.860,0.002,-0.406
'[23:07:00.192 19/01/1989]',0.135,42.070,0.002,-0.407
'[23:07:00.196 19/01/1989]',0.135,41.233,0.001,-0.401
'[23:07:00.200 19/01/1989]',0.155,41.651,-0.000,-0.409
'[23:07:00.204 19/01/1989]',0.140,42.070,-0.001,-0.394
'[23:07:00.208 19/01/1989]',0.155,41.233,-0.003,-0.391
'[23:07:00.212 19/01/1989]',0.160,41.860,-0.009,-0.412
'[23:07:00.216 19/01/1989]',0.160,41.023,-0.011,-0.397
'[23:07:00.220 19/01/1989]',0.175,41.442,-0.012,-0.412
