sample interval	    ECG	     BP	(C4-A1)	p (sum)
    (0.004 sec)	   (mV)	 (mmHg)	   (mV)	    (l)
              0	  0.085	 47.930	 -0.039	 -0.261
              1	  0.080	 47.721	 -0.039	 -0.267
              2	  0.125	 47.930	 -0.039	 -0.261
              3	  0.170	 47.721	 -0.039	 -0.271
              4	  0.230	 47.302	 -0.035	 -0.265
              5	  0.340	 46.884	 -0.025	 -0.272
              6	  0.485	 46.884	 -0.016	 -0.280
              7	  0.700	 46.674	 -0.007	 -0.297
              8	  0.855	 46.256	 -0.002	 -0.297
              9	  0.920	 46.256	 -0.002	 -0.307
             10	  0.705	 46.046	 -0.007	 -0.307
             11	  0.400	 45.419	 -0.019	 -0.316
             12	  0.030	 45.628	 -0.029	 -0.312
             13	 -0.245	 45.209	 -0.032	 -0.319
             14	 -0.360	 45.419	 -0.033	 -0.309
             15	 -0.355	 45.000	 -0.027	 -0.297
             16	 -0.240	 45.209	 -0.019	 -0.307
             17	 -0.125	 44.581	 -0.018	 -0.312
             18	 -0.065	 44.581	 -0.018	 -0.310
             19	 -0.030	 44.581	 -0.013	 -0.317
             20	  0.015	 44.581	 -0.011	 -0.330
             21	  0.055	 44.581	 -0.012	 -0.343
             22	  0.080	 44.791	 -0.014	 -0.348
             23	  0.085	 43.953	 -0.017	 -0.352
             24	  0.075	 44.163	 -0.024	 -0.354
             25	  0.070	 43.953	 -0.028	 -0.343
             26	  0.080	 43.744	 -0.031	 -0.343
             27	  0.080	 43.535	 -0.037	 -0.328
             28	  0.090	 43.744	 -0.044	 -0.336
             29	  0.095	 43.326	 -0.047	 -0.330
             30	  0.095	 43.744	 -0.047	 -0.342
             31	  0.090	 43.326	 -0.049	 -0.342
             32	  0.095	 42.907	 -0.048	 -0.354
             33	  0.095	 42.698	 -0.048	 -0.359
             34	  0.110	 42.907	 -0.044	 -0.380
             35	  0.100	 42.488	 -0.043	 -0.378
             36	  0.100	 42.907	 -0.040	 -0.378
             37	  0.115	 42.279	 -0.037	 -0.359
             38	  0.115	 42.698	 -0.032	 -0.365
             39	  0.100	 42.279	 -0.029	 -0.365
             40	  0.115	 42.488	 -0.023	 -0.367
             41	  0.110	 42.279	 -0.017	 -0.365
             42	  0.120	 42.698	 -0.015	 -0.374
             43	  0.115	 42.279	 -0.013	 -0.371
             44	  0.110	 42.279	 -0.007	 -0.380
             45	  0.125	 42.070	 -0.001	 -0.400
             46	  0.125	 42.279	  0.000	 -0.399
             47	  0.140	 41.860	  0.002	 -0.406
             48	  0.135	 42.070	  0.002	 -0.407
             49	  0.135	 41.233	  0.001	 -0.401
             50	  0.155	 41.651	 -0.000	 -0.409
             51	  0.140	 42.070	 -0.001	 -0.394
             52	  0.155	 41.233	 -0.003	 -0.391
             53	  0.160	 41.860	 -0.009	 -0.412
             54	  0.160	 41.023	 -0.011	 -0.397
             55	  0.175	 41.442	 -0.012	 -0.412
             56	  0.180	 41.442	 -0.014	 -0.422
             57	  0.185	 42.070	 -0.015	 -0.430
             58	  0.180	 42.907	 -0.016	 -0.436
             59	  0.195	 44.581	 -0.017	 -0.442
             60	  0.185	 45.628	 -0.016	 -0.436
             61	  0.215	 47.512	 -0.017	 -0.451
             62	  0.210	 49.605	 -0.015	 -0.425
             63	  0.225	 51.907	 -0.012	 -0.448
             64	  0.220	 54.000	 -0.012	 -0.419
             65	  0.220	 56.302	 -0.008	 -0.445
             66	  0.220	 59.023	 -0.005	 -0.423
             67	  0.240	 62.163	 -0.004	 -0.441
             68	  0.235	 65.093	 -0.004	 -0.441
             69	  0.245	 67.605	 -0.000	 -0.446
             70	  0.240	 71.163	  0.003	 -0.455
             71	  0.255	 74.093	  0.002	 -0.464
             72	  0.240	 77.651	  0.003	 -0.441
             73	  0.240	 81.000	  0.004	 -0.457
             74	  0.235	 84.349	 -0.000	 -0.441
             75	  0.220	 88.116	  0.001	 -0.439
             76	  0.210	 91.465	  0.001	 -0.436
             77	  0.210	 93.977	 -0.000	 -0.430
             78	  0.200	 97.326	 -0.006	 -0.430
             79	  0.205	 99.628	 -0.009	 -0.445
             80	  0.185	101.512	 -0.011	 -0.446
             81	  0.165	103.186	 -0.014	 -0.446
             82	  0.165	104.860	 -0.018	 -0.459
             83	  0.140	105.698	 -0.023	 -0.457
             84	  0.120	105.698	 -0.027	 -0.470
             85	  0.115	105.907	 -0.032	 -0.458
             86	  0.090	105.907	 -0.034	 -0.483
             87	  0.085	105.279	 -0.036	 -0.470
             88	  0.060	104.651	 -0.037	 -0.478
             89	  0.050	103.186	 -0.040	 -0.455
             90	  0.030	102.139	 -0.042	 -0.467
             91	  0.030	100.884	 -0.044	 -0.487
             92	  0.040	 99.837	 -0.048	 -0.468
             93	  0.015	 98.791	 -0.052	 -0.496
             94	  0.005	 96.279	 -0.051	 -0.490
             95	  0.015	 94.814	 -0.052	 -0.510
             96	 -0.000	 93.558	 -0.056	 -0.516
             97	  0.005	 92.093	 -0.055	 -0.501
             98	 -0.000	 89.791	 -0.056	 -0.500
             99	 -0.000	 88.953	 -0.052	 -0.516
            100	 -0.000	 87.488	 -0.051	 -0.501
            101	 -0.000	 86.233	 -0.044	 -0.487
            102	 -0.005	 84.767	 -0.041	 -0.499
            103	 -0.000	 83.093	 -0.041	 -0.523
            104	  0.020	 81.628	 -0.038	 -0.499
            105	 -0.000	 80.581	 -0.035	 -0.507
            106	 -0.000	 79.326	 -0.033	 -0.523
            107	 -0.000	 78.070	 -0.033	 -0.532
            108	 -0.000	 76.395	 -0.032	 -0.539
            109	  0.005	 75.558	 -0.032	 -0.539
            110	  0.020	 74.721	 -0.033	 -0.529
            111	  0.005	 73.046	 -0.033	 -0.536
            112	  0.005	 72.837	 -0.032	 -0.522
            113	  0.020	 71.791	 -0.031	 -0.532
            114	  0.015	 70.535	 -0.035	 -0.533
            115	  0.010	 70.116	 -0.031	 -0.536
            116	  0.020	 68.860	 -0.030	 -0.545
