sample interval	    ECG	     BP	(C4-A1)	p (sum)
    (0.004 sec)	   (mV)	 (mmHg)	   (mV)	    (l)
              0	  0.220	 80.372	  0.008	 -0.396
              1	  0.235	 83.093	  0.009	 -0.393
              2	  0.225	 85.814	  0.009	 -0.400
              3	  0.240	 88.326	  0.010	 -0.413
              4	  0.230	 90.837	  0.009	 -0.403
              5	  0.230	 92.930	  0.012	 -0.428
              6	  0.240	 95.233	  0.012	 -0.425
              7	  0.220	 96.698	  0.011	 -0.429
              8	  0.215	 98.581	  0.012	 -0.432
              9	  0.225	100.256	  0.012	 -0.422
             10	  0.210	101.930	  0.011	 -0.430
             11	  0.210	102.977	  0.009	 -0.410
             12	  0.195	104.233	  0.010	 -0.414
             13	  0.180	105.279	  0.011	 -0.417
             14	  0.165	105.698	  0.007	 -0.401
             15	  0.160	106.326	  0.003	 -0.409
             16	  0.135	105.488	  0.005	 -0.429
             17	  0.125	106.116	  0.003	 -0.428
             18	  0.100	105.698	  0.001	 -0.429
             19	  0.075	104.860	 -0.000	 -0.439
             20	  0.070	103.814	 -0.001	 -0.449
             21	  0.060	102.977	 -0.005	 -0.429
             22	  0.040	101.512	 -0.004	 -0.432
             23	  0.030	100.674	 -0.004	 -0.425
             24	  0.020	 99.000	 -0.005	 -0.425
             25	 -0.000	 97.535	 -0.009	 -0.407
             26	 -0.000	 96.488	 -0.010	 -0.414
             27	 -0.000	 94.395	 -0.007	 -0.412
             28	  0.005	 93.558	 -0.008	 -0.422
             29	 -0.000	 91.884	 -0.009	 -0.416
             30	 -0.000	 90.628	 -0.008	 -0.436
             31	 -0.000	 89.791	 -0.007	 -0.435
             32	 -0.000	 88.116	 -0.007	 -0.446
             33	 -0.010	 86.860	 -0.005	 -0.442
             34	 -0.000	 85.605	 -0.004	 -0.442
             35	 -0.000	 84.767	 -0.004	 -0.436
             36	 -0.000	 83.512	 -0.004	 -0.435
             37	 -0.000	 82.046	 -0.001	 -0.422
             38	 -0.000	 81.000	  0.002	 -0.420
             39	  0.005	 80.581	  0.001	 -0.412
             40	  0.010	 79.326	 -0.002	 -0.416
             41	  0.015	 78.070	 -0.003	 -0.420
             42	  0.015	 77.442	 -0.003	 -0.433
             43	  0.015	 77.023	 -0.004	 -0.441
             44	  0.010	 76.395	 -0.004	 -0.451
             45	  0.015	 75.558	 -0.004	 -0.458
             46	  0.010	 75.139	 -0.008	 -0.435
             47	  0.030	 74.721	 -0.007	 -0.435
             48	  0.020	 73.674	 -0.007	 -0.425
             49	  0.020	 73.046	 -0.007	 -0.417
             50	  0.035	 72.837	 -0.011	 -0.407
             51	  0.040	 72.000	 -0.012	 -0.420
             52	  0.035	 71.581	 -0.013	 -0.412
             53	  0.040	 70.953	 -0.013	 -0.429
             54	  0.030	 69.698	 -0.014	 -0.425
             55	  0.040	 69.070	 -0.014	 -0.442
             56	  0.025	 68.860	 -0.012	 -0.445
             57	  0.035	 68.233	 -0.010	 -0.446
             58	  0.040	 67.395	 -0.009	 -0.435
             59	  0.040	 66.977	 -0.005	 -0.435
             60	  0.040	 66.558	 -0.001	 -0.426
             61	  0.035	 65.721	  0.000	 -0.425
             62	  0.040	 64.674	  0.007	 -0.414
             63	  0.040	 64.465	  0.013	 -0.420
             64	  0.040	 64.046	  0.013	 -0.419
             65	  0.040	 63.628	  0.012	 -0.429
             66	  0.040	 62.581	  0.014	 -0.439
             67	  0.040	 62.163	  0.012	 -0.445
             68	  0.045	 62.163	  0.010	 -0.436
             69	  0.055	 62.163	  0.008	 -0.432
             70	  0.040	 61.535	  0.004	 -0.441
             71	  0.045	 61.326	 -0.002	 -0.433
             72	  0.040	 61.326	 -0.005	 -0.436
             73	  0.040	 60.907	 -0.006	 -0.426
             74	  0.050	 60.698	 -0.011	 -0.417
             75	  0.045	 60.488	 -0.017	 -0.406
             76	  0.040	 60.698	 -0.019	 -0.417
             77	  0.040	 60.488	 -0.021	 -0.399
             78	  0.040	 60.488	 -0.022	 -0.417
             79	  0.040	 60.488	 -0.024	 -0.417
             80	  0.040	 60.488	 -0.025	 -0.420
             81	  0.050	 60.279	 -0.025	 -0.417
             82	  0.040	 61.116	 -0.027	 -0.417
             83	  0.035	 60.698	 -0.027	 -0.412
             84	  0.045	 60.488	 -0.027	 -0.409
             85	  0.060	 61.326	 -0.028	 -0.394
             86	  0.065	 61.744	 -0.029	 -0.394
             87	  0.060	 61.535	 -0.027	 -0.396
             88	  0.055	 61.744	 -0.023	 -0.406
             89	  0.055	 61.953	 -0.026	 -0.413
             90	  0.050	 61.744	 -0.027	 -0.419
             91	  0.060	 62.163	 -0.026	 -0.429
             92	  0.055	 63.000	 -0.028	 -0.433
             93	  0.060	 63.209	 -0.030	 -0.426
             94	  0.070	 63.628	 -0.031	 -0.416
             95	  0.065	 63.209	 -0.031	 -0.425
             96	  0.055	 63.837	 -0.035	 -0.414
             97	  0.060	 64.046	 -0.037	 -0.416
             98	  0.055	 63.837	 -0.035	 -0.403
             99	  0.055	 64.046	 -0.039	 -0.400
            100	  0.070	 64.256	 -0.040	 -0.399
            101	  0.060	 64.465	 -0.040	 -0.414
            102	  0.065	 64.256	 -0.038	 -0.414
            103	  0.070	 64.674	 -0.038	 -0.433
            104	  0.045	 64.256	 -0.038	 -0.435
            105	  0.080	 64.465	 -0.038	 -0.445
            106	  0.070	 64.674	 -0.038	 -0.429
            107	  0.080	 64.884	 -0.039	 -0.423
            108	  0.070	 64.674	 -0.040	 -0.417
            109	  0.065	 63.837	 -0.041	 -0.423
            110	  0.075	 64.465	 -0.043	 -0.414
            111	  0.060	 64.674	 -0.046	 -0.412
            112	  0.070	 64.256	 -0.045	 -0.401
            113	  0.065	 64.046	 -0.043	 -0.404
            114	  0.080	 64.465	 -0.046	 -0.400
            115	  0.080	 63.837	 -0.047	 -0.401
            116	  0.090	 63.419	 -0.045	 -0.407
            117	  0.075	 63.209	 -0.044	 -0.412
            118	  0.075	 63.419	 -0.043	 -0.417
            119	  0.070	 62.791	 -0.039	 -0.417
            120	  0.080	 62.791	 -0.038	 -0.419
            121	  0.090	 62.581	 -0.038	 -0.404
            122	  0.065	 63.000	 -0.035	 -0.400
            123	  0.080	 62.372	 -0.032	 -0.384
            124	  0.080	 62.163	 -0.032	 -0.386
            125	  0.095	 61.953	 -0.031	 -0.383
            126	  0.100	 61.744	 -0.031	 -0.399
            127	  0.105	 61.326	 -0.029	 -0.394
            128	  0.090	 60.907	 -0.025	 -0.419
            129	  0.085	 60.907	 -0.025	 -0.409
            130	  0.100	 60.907	 -0.025	 -0.410
            131	  0.100	 60.070	 -0.024	 -0.404
            132	  0.105	 59.651	 -0.024	 -0.401
            133	  0.100	 59.651	 -0.024	 -0.387
            134	  0.115	 59.023	 -0.022	 -0.388
            135	  0.125	 58.814	 -0.023	 -0.380
            136	  0.105	 58.605	 -0.023	 -0.384
            137	  0.100	 59.023	 -0.022	 -0.377
            138	  0.110	 58.186	 -0.020	 -0.386
            139	  0.115	 57.767	 -0.021	 -0.390
            140	  0.120	 57.977	 -0.023	 -0.393
            141	  0.135	 57.558	 -0.022	 -0.404
            142	  0.135	 57.140	 -0.023	 -0.410
            143	  0.140	 56.930	 -0.026	 -0.407
