sample interval	    ECG	     BP	(C3-O1)	(nasal)
    (0.004 sec)	   (mV)	 (mmHg)	   (mV)	    (l)
              0	  0.416	140.808	  0.039	  0.048
              1	  0.410	144.038	  0.039	  0.047
              2	  0.406	146.192	  0.025	  0.047
              3	  0.398	149.423	  0.016	  0.047
              4	  0.400	151.846	  0.007	  0.050
              5	  0.386	154.538	  0.009	  0.047
              6	  0.370	155.884	  0.010	  0.044
              7	  0.350	156.961	 -0.008	  0.045
              8	  0.336	158.308	  0.020	  0.046
              9	  0.320	158.846	  0.006	  0.047
             10	  0.310	158.846	  0.014	  0.046
             11	  0.296	158.038	  0.013	  0.043
             12	  0.286	158.038	 -0.015	  0.044
             13	  0.262	158.577	 -0.019	  0.046
             14	  0.244	156.692	 -0.023	  0.045
             15	  0.226	155.346	 -0.009	  0.045
             16	  0.212	154.808	 -0.023	  0.045
             17	  0.176	153.731	 -0.017	  0.043
             18	  0.154	152.923	 -0.012	  0.043
             19	  0.114	150.500	 -0.017	  0.047
             20	  0.082	148.884	 -0.005	  0.047
             21	  0.048	148.077	 -0.005	  0.046
             22	  0.024	147.269	  0.003	  0.045
             23	 -0.004	145.923	  0.020	  0.047
             24	 -0.014	143.500	  0.015	  0.047
             25	 -0.048	142.423	  0.022	  0.046
             26	 -0.048	141.346	  0.022	  0.049
             27	 -0.070	139.731	  0.025	  0.049
             28	 -0.072	138.654	  0.019	  0.047
             29	 -0.076	138.115	  0.006	  0.048
             30	 -0.076	136.500	  0.009	  0.047
             31	 -0.082	134.884	  0.008	  0.048
             32	 -0.076	133.808	 -0.001	  0.051
             33	 -0.072	132.731	  0.001	  0.051
             34	 -0.066	130.846	 -0.008	  0.052
             35	 -0.064	130.308	  0.014	  0.052
             36	 -0.064	128.961	 -0.003	  0.052
             37	 -0.062	127.615	 -0.004	  0.056
             38	 -0.056	126.538	 -0.002	  0.055
             39	 -0.052	124.923	 -0.014	  0.056
             40	 -0.046	124.384	 -0.005	  0.057
             41	 -0.048	123.038	 -0.015	  0.059
             42	 -0.040	122.231	 -0.010	  0.058
             43	 -0.042	120.346	 -0.016	  0.062
