sample interval	    ECG	     BP	(C4-A1)	(nasal)	(chest)	    EOG	    EMG
    (0.004 sec)	   (mV)	 (mmHg)	   (mV)	    (l)	    (l)	   (mV)	   (mV)
              0	 -0.154	 94.955	 -0.009	 -0.207	  0.146	 -0.116	 -0.013
              1	 -0.156	 98.049	 -0.001	 -0.211	  0.144	 -0.114	  0.009
              2	 -0.154	101.143	  0.000	 -0.215	  0.143	 -0.116	 -0.003
              3	 -0.130	104.344	 -0.004	 -0.219	  0.141	 -0.121	  0.000
              4	 -0.126	107.544	 -0.001	 -0.223	  0.139	 -0.126	  0.002
              5	 -0.080	110.745	 -0.003	 -0.227	  0.138	 -0.128	  0.007
              6	 -0.072	113.839	 -0.001	 -0.232	  0.137	 -0.129	  0.010
              7	 -0.060	117.040	  0.014	 -0.233	  0.135	 -0.130	  0.025
              8	 -0.086	120.027	  0.002	 -0.238	  0.134	 -0.131	 -0.007
              9	 -0.090	122.801	  0.007	 -0.243	  0.133	 -0.132	  0.005
             10	 -0.024	125.362	  0.007	 -0.249	  0.131	 -0.133	  0.014
             11	 -0.062	127.816	  0.009	 -0.252	  0.129	 -0.136	 -0.020
             12	 -0.052	129.949	  0.006	 -0.255	  0.127	 -0.138	  0.009
             13	 -0.070	131.977	  0.010	 -0.257	  0.125	 -0.141	  0.001
             14	 -0.054	133.577	  0.007	 -0.262	  0.124	 -0.141	 -0.001
             15	 -0.072	135.071	  0.008	 -0.264	  0.122	 -0.139	 -0.000
             16	 -0.064	136.244	  0.007	 -0.268	  0.120	 -0.135	  0.024
             17	 -0.088	137.204	  0.006	 -0.271	  0.119	 -0.138	 -0.010
             18	 -0.088	137.738	  0.010	 -0.275	  0.117	 -0.141	  0.011
             19	 -0.092	138.058	  0.001	 -0.278	  0.115	 -0.142	  0.005
             20	 -0.104	138.485	 -0.006	 -0.283	  0.114	 -0.140	 -0.004
             21	 -0.114	138.591	 -0.005	 -0.286	  0.113	 -0.138	  0.011
             22	 -0.134	138.485	 -0.001	 -0.289	  0.111	 -0.140	 -0.007
             23	 -0.152	138.271	  0.005	 -0.291	  0.110	 -0.145	  0.008
             24	 -0.182	138.058	 -0.002	 -0.294	  0.108	 -0.148	 -0.001
             25	 -0.184	137.418	 -0.002	 -0.295	  0.106	 -0.147	  0.001
             26	 -0.216	136.991	 -0.013	 -0.299	  0.106	 -0.143	 -0.011
             27	 -0.200	136.564	 -0.012	 -0.301	  0.104	 -0.140	  0.006
             28	 -0.234	135.817	  0.001	 -0.303	  0.102	 -0.138	  0.005
             29	 -0.240	135.284	 -0.002	 -0.307	  0.101	 -0.140	  0.001
             30	 -0.240	134.537	 -0.005	 -0.308	  0.100	 -0.140	  0.001
             31	 -0.230	133.790	 -0.003	 -0.312	  0.098	 -0.134	  0.002
             32	 -0.266	133.043	 -0.007	 -0.314	  0.097	 -0.129	  0.001
             33	 -0.252	132.190	  0.002	 -0.316	  0.096	 -0.126	  0.000
             34	 -0.256	131.656	 -0.001	 -0.320	  0.094	 -0.125	  0.003
             35	 -0.264	130.696	  0.005	 -0.321	  0.093	 -0.125	  0.006
             36	 -0.232	129.949	  0.005	 -0.325	  0.091	 -0.128	  0.001
             37	 -0.288	129.096	  0.003	 -0.326	  0.089	 -0.125	  0.011
             38	 -0.276	128.562	 -0.004	 -0.329	  0.088	 -0.127	  0.006
             39	 -0.274	127.816	 -0.006	 -0.332	  0.086	 -0.126	 -0.009
